文件名,直接原因,最终三元组
2019-4_print.txt,违规操作，未按操作规程要求操作;  导线磨破低压线绝缘点,\n(安全制度缺失，导致，安全培训教育不足) \n(安全制度缺失，导致，现场监督检查不力) \n(安全制度缺失，导致，作业组织不规范) \n(安全制度缺失，导致，隐患排查不到位) \n(安全培训教育不足，导致，作业人员无特种作业操作资格) \n(现场监督检查不力，导致，未监督劳动防护用品使用) \n(现场监督检查不力，导致，监理人员现场管理不到位，未审查资质) \n(作业组织不规范，导致，现场安全管理混乱，未安排专人检查) \n(隐患排查不到位，导致，导线磨破低压线绝缘点) \n(作业人员无特种作业操作资格，导致，违规操作，未按操作规程要求操作) \n(未监督劳动防护用品使用，导致，违规操作，未按操作规程要求操作) \n(现场安全管理混乱，未安排专人检查，导致，违规操作，未按操作规程要求操作) \n(监理人员现场管理不到位，未审查资质，导致，违规操作，未按操作规程要求操作) \n(违规操作，未按操作规程要求操作，和，导线磨破低压线绝缘点) \n(违规操作，未按操作规程要求操作，导致，触电) \n(导线磨破低压线绝缘点，导致，触电) \n(触电，导致，2人死亡；0人受伤；直接经济损失约310.877万元)\n##
2019-5_print.txt,违章触碰带电设备;  电容器存在高剩余电荷和残压,"\n(安全培训教育不足, 导致, 安全意识薄弱) \n(现场监督检查不力, 导致, 安全意识薄弱) \n(安全意识薄弱, 导致, 违章触碰带电设备) \n(现场监督检查不力, 导致, 电容器存在高剩余电荷和残压) \n(违章触碰带电设备, 和, 电容器存在高剩余电荷和残压) \n(违章触碰带电设备, 导致, 触电) \n(电容器存在高剩余电荷和残压, 导致, 触电) \n(触电, 导致, 1人死亡；0人受伤；直接经济损失约82.2万元)\n##"
2019-6_print.txt,违章进入带电开关柜;  开关柜带电且柜门敞开无防护,\n(工作票审核不到位，导致，安全交代未落实) \n(工作票审核不到位，导致，安全遮拦和标识牌未设置) \n(现场监督检查不力，导致，安全遮拦和标识牌未设置) \n(现场监督检查不力，导致，工作负责人监护职责未履行) \n(安全培训教育不足，导致，工作负责人监护职责未履行) \n(安全培训教育不足，导致，安全交代未落实) \n(安全交代未落实，导致，违章进入带电开关柜) \n(工作负责人监护职责未履行，导致，违章进入带电开关柜) \n(安全遮拦和标识牌未设置，导致，开关柜带电且柜门敞开无防护) \n(违章进入带电开关柜，和，开关柜带电且柜门敞开无防护) \n(违章进入带电开关柜，导致，触电) \n(开关柜带电且柜门敞开无防护，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
2019-7_print.txt,裸手操作高压设备,\n(现场监管不到位，导致，安全防护意识薄弱) \n(现场监管不到位，导致，未按照抢修流程申报作业) \n(未按照抢修流程申报作业，导致，未执行停电操作) \n(未按照抢修流程申报作业，导致，未执行验电操作) \n(未按照抢修流程申报作业，导致，未装设接地线) \n(安全防护意识薄弱，导致，裸手操作高压设备) \n(未执行停电操作，和，未执行验电操作) \n(未执行验电操作，和，未装设接地线) \n(未执行停电操作，和，未装设接地线) \n(裸手操作高压设备，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约82.95万元)\n##
2019-8_print.txt,盲目移动脚手架;  未悬挂警示标识;  未布置隔离措施,"\n(工作票制度执行不严，导致，安全交底针对性不强) \n(工作票制度执行不严，导致，风险辨识不到位) \n(安全风险辨识防控不到位，导致，风险辨识不到位) \n(安全风险辨识防控不到位，导致，安全意识淡薄) \n(""三措一案""编审批和执行问题，导致，未履行安全管控责任) \n(""三措一案""编审批和执行问题，导致，风险辨识不到位) \n(""三种人""安全履责能力不足，导致，安全意识淡薄) \n(""三种人""安全履责能力不足，导致，对安全规程不熟悉) \n(外来施工作业安全管理不到位，导致，安全风险辨识防控不到位) \n(外来施工作业安全管理不到位，导致，工作票制度执行不严) \n(安全意识淡薄，导致，盲目移动脚手架) \n(风险辨识不到位，导致，未布置隔离措施) \n(未履行安全管控责任，导致，未悬挂警示标识) \n(安全交底针对性不强，导致，盲目移动脚手架) \n(对安全规程不熟悉，导致，未悬挂警示标识) \n(盲目移动脚手架，和，未悬挂警示标识) \n(盲目移动脚手架，和，未布置隔离措施) \n(未悬挂警示标识，和，未布置隔离措施) \n(盲目移动脚手架，导致，触电) \n(未悬挂警示标识，导致，触电) \n(未布置隔离措施，导致，触电) \n(触电，导致，1人死亡；1人受伤；直接经济损失约0万元)\n##"
2019-9_print.txt,违规冒险带电操作,\n(安全培训教育不足，导致，操作规程执行不到位)\n(现场监督检查不力，导致，未按规则佩戴劳动防护用品)\n(隐患排查不到位，导致，特种作业操作证过期未更新)\n(操作规程执行不到位，导致，违规冒险带电操作)\n(未按规则佩戴劳动防护用品，导致，违规冒险带电操作)\n(特种作业操作证过期未更新，导致，违规冒险带电操作)\n(违规冒险带电操作，导致，触电)\n(触电，导致，1人死亡；0人受伤；直接经济损失约130万元)\n##
2020-1_print.txt,未设置临时拉线;  机动绞磨未按要求设置在塔的北侧;  未按规定切割塔腿,\n(资质审核不到位，导致，技能不足) \n(资质审核不到位，导致，安全技术交底未进行) \n(安全培训教育不足，导致，安全意识薄弱) \n(安全培训教育不足，导致，安全技术交底未进行) \n(现场监督检查不力，导致，安全技术交底未进行) \n(现场监督检查不力，导致，安全意识薄弱) \n(安全意识薄弱，导致，未设置临时拉线) \n(技能不足，导致，未按规定切割塔腿) \n(安全技术交底未进行，导致，机动绞磨未按要求设置在塔的北侧) \n(未设置临时拉线，和，机动绞磨未按要求设置在塔的北侧) \n(未设置临时拉线，和，未按规定切割塔腿) \n(机动绞磨未按要求设置在塔的北侧，和，未按规定切割塔腿) \n(未设置临时拉线，导致，坍塌) \n(机动绞磨未按要求设置在塔的北侧，导致，坍塌) \n(未按规定切割塔腿，导致，坍塌) \n(坍塌，导致，2人死亡；3人受伤；直接经济损失约317.3万元)\n##
2020-2_print.txt,未断开变压器高压侧电源;  独自返回作业现场未汇报;  接触带电变压器高压侧接线柱,\n(资质审核不到位，导致，安全培训教育不足) \n(资质审核不到位，导致，现场监督检查不力) \n(资质审核不到位，导致，电工特种作业证过期) \n(电工特种作业证过期，导致，独自返回作业现场未汇报) \n(安全培训教育不足，导致，独自返回作业现场未汇报) \n(现场监督检查不力，导致，未断开变压器高压侧电源) \n(现场监督检查不力，导致，独自返回作业现场未汇报) \n(未断开变压器高压侧电源，和，独自返回作业现场未汇报) \n(未断开变压器高压侧电源，和，接触带电变压器高压侧接线柱) \n(独自返回作业现场未汇报，和，接触带电变压器高压侧接线柱) \n(未断开变压器高压侧电源，导致，触电) \n(独自返回作业现场未汇报，导致，触电) \n(接触带电变压器高压侧接线柱，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约42.84万元)\n##
2020-3_print.txt,私自摘掉绝缘手套;  未按安全规程进行操作;  线路有破皮危险,\n(资质审核不到位，导致，未对操作资质进行核查)\n(资质审核不到位，导致，安全培训教育不足)\n(安全培训教育不足，导致，安全风险辨识能力不足)\n(安全培训教育不足，导致，安全意识淡薄)\n(安全培训教育不足，导致，安全技能不强)\n(现场监管不到位，导致，工作负责人未履行监护职责)\n(现场监管不到位，导致，安全技能不强)\n(未对操作资质进行核查，导致，工作负责人未履行监护职责)\n(安全意识淡薄，导致，私自摘掉绝缘手套)\n(安全技能不强，导致，未按安全规程进行操作)\n(安全风险辨识能力不足，导致，线路有破皮危险)\n(工作负责人未履行监护职责，导致，私自摘掉绝缘手套)\n(私自摘掉绝缘手套，导致，触电)\n(未按安全规程进行操作，导致，触电)\n(线路有破皮危险，导致，触电)\n(私自摘掉绝缘手套，和，未按安全规程进行操作)\n(私自摘掉绝缘手套，和，线路有破皮危险)\n(未按安全规程进行操作，和，线路有破皮危险)\n(触电，导致，1人死亡；0人受伤；直接经济损失约90万元)\n##
2020-4_print.txt,未核对线路名称;  未核对杆塔编号;  未验电,\n(安全制度缺失，导致，安全培训教育不足) \n(安全制度缺失，导致，现场监管不到位) \n(安全培训教育不足，导致，安全交代内容不具体) \n(安全培训教育不足，导致，未进行组员安全交代) \n(现场监管不到位，导致，未设置专责监护人) \n(现场监管不到位，导致，材料及工器具摆放错误) \n(安全交代内容不具体，导致，未核对线路名称) \n(未进行组员安全交代，导致，未核对杆塔编号) \n(未设置专责监护人，导致，未验电) \n(材料及工器具摆放错误，导致，未核对线路名称) \n(未核对线路名称，和，未核对杆塔编号) \n(未核对线路名称，和，未验电) \n(未核对杆塔编号，和，未验电) \n(未核对线路名称，导致，触电) \n(未核对杆塔编号，导致，触电) \n(未验电，导致，触电) \n(触电，导致，0人死亡；1人受伤；直接经济损失约0万元)\n##
2020-5_print.txt,无视“禁止攀登 高压危险”标识牌;  攀登带电构架;  横跨多个间隔;  未正确使用安全带,\n(安全培训教育不足，导致，安全意识淡薄) \n(安全培训教育不足，导致，自我保护技能不足) \n(作业组织不规范，导致，工作负责人未告知作业现场危险因素和防范措施) \n(作业组织不规范，导致，未安排专人监护) \n(外委工程监管不力，导致，运维站门禁管理不严大门未关闭) \n(现场监督检查不力，导致，安全意识淡薄) \n(现场监督检查不力，导致，未安排专人监护) \n(外委工程监管不力，导致，工作负责人未告知作业现场危险因素和防范措施) \n(安全意识淡薄，导致，无视“禁止攀登 高压危险”标识牌) \n(自我保护技能不足，导致，未正确使用安全带) \n(工作负责人未告知作业现场危险因素和防范措施，导致，攀登带电构架) \n(未安排专人监护，导致，横跨多个间隔) \n(运维站门禁管理不严大门未关闭，导致，攀登带电构架) \n(无视“禁止攀登 高压危险”标识牌，和，攀登带电构架) \n(无视“禁止攀登 高压危险”标识牌，和，横跨多个间隔) \n(无视“禁止攀登 高压危险”标识牌，和，未正确使用安全带) \n(攀登带电构架，和，横跨多个间隔) \n(攀登带电构架，和，未正确使用安全带) \n(横跨多个间隔，和，未正确使用安全带) \n(无视“禁止攀登 高压危险”标识牌，导致，触电) \n(攀登带电构架，导致，触电) \n(横跨多个间隔，导致，触电) \n(未正确使用安全带，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
2021-1_print.txt,擅自登杆作业,\n(安全培训教育不足，导致，施工人员未经安全培训合格上岗) \n(安全培训教育不足，导致，未按规定进行安全检查) \n(安全责任不落实，导致，未及时发现并纠正违章行为) \n(安全责任不落实，导致，未按规定进行安全检查) \n(现场监督检查不力，导致，未按规定进行安全检查) \n(现场监督检查不力，导致，未及时发现并纠正违章行为) \n(外委工程监管不力，导致，现场监督检查不力) \n(外委工程监管不力，导致，施工人员未经安全培训合格上岗) \n(施工人员未经安全培训合格上岗，导致，擅自登杆作业) \n(未及时发现并纠正违章行为，导致，擅自登杆作业) \n(未按规定进行安全检查，导致，擅自登杆作业) \n(擅自登杆作业，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约148万元)\n##
2021-2_print.txt,未将安全带卡扣系扣在安全固件上,\n(安全责任不落实，导致，安全教育培训不足) \n(安全责任不落实，导致，高危作业时未安排专人进行现场安全监管) \n(安全教育培训不足，和，高危作业时未安排专人进行现场安全监管) \n(安全教育培训不足，导致，未将安全带卡扣系扣在安全固件上) \n(高危作业时未安排专人进行现场安全监管，导致，未将安全带卡扣系扣在安全固件上) \n(未将安全带卡扣系扣在安全固件上，导致，高处坠落) \n(高处坠落，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
2021-3_print.txt,擅自进入带电设备区;  违规使用钢卷尺靠近带电导线,\n(安全培训教育不足，导致，安全意识薄弱) \n(现场监督检查不力，导致，安全意识薄弱) \n(安全责任不落实，导致，安全意识薄弱) \n(安全意识薄弱，导致，擅自进入带电设备区) \n(安全意识薄弱，导致，违规使用钢卷尺靠近带电导线) \n(擅自进入带电设备区，导致，触电) \n(违规使用钢卷尺靠近带电导线，导致，触电) \n(触电，导致，1人死亡；1人受伤；直接经济损失约0万元)\n##
2021-4_print.txt,未扣安全带挂钩,\n(安全培训教育不足，导致，无高空作业资格证从事高空作业) \n(安全培训教育不足，导致，安全意识薄弱) \n(资质审核不到位，导致，现场监管不到位) \n(资质审核不到位，导致，无高空作业资格证从事高空作业) \n(现场监管不到位，导致，无高空作业资格证从事高空作业) \n(现场监管不到位，导致，安全意识薄弱) \n(无高空作业资格证从事高空作业，导致，安全意识薄弱) \n(安全意识薄弱，导致，未扣安全带挂钩) \n(未扣安全带挂钩，导致，高处坠落) \n(高处坠落，导致，1人死亡；0人受伤；直接经济损失约180万元)\n##
2021-5_print.txt,手车重心偏高偏前;  导轨倾斜角较大且存在8毫米高度差,\n(隐患排查不到位，导致，设备设计缺陷) \n(隐患排查不到位，导致，设备使用说明书不足) \n(工程验收不规范，导致，操作导轨配置问题) \n(工程验收不规范，导致，设备设计缺陷) \n(设备设计缺陷，导致，手车重心偏高偏前) \n(设备使用说明书不足，导致，手车重心偏高偏前) \n(操作导轨配置问题，导致，导轨倾斜角较大且存在8毫米高度差) \n(手车重心偏高偏前，和，导轨倾斜角较大且存在8毫米高度差) \n(手车重心偏高偏前，导致，物体打击) \n(导轨倾斜角较大且存在8毫米高度差，导致，物体打击) \n(物体打击，导致，1人死亡；0人受伤；直接经济损失约92.23万元)\n##
2022-1_print.txt,"未断开用户进线侧跌落开关;  未进行验电; 未装设接地线;  未排查外来电路是否安全隔断;  未穿戴相关防护用具;  用户自备发电机未加装防反送电设备',",\n(安全制度缺失，导致，未落实工作票据制度) \n(安全制度缺失，导致，未执行保证安全的组织和技术措施) \n(安全培训教育不足，导致，人员安全意识薄弱) \n(安全培训教育不足，导致，人员技能不足) \n(现场监督检查不力，导致，履职不到位) \n(现场监督检查不力，导致，现场风险管控失控) \n(未落实工作票据制度，导致，违章指挥) \n(未执行保证安全的组织和技术措施，导致，生产作业组织管理混乱) \n(履职不到位，导致，违章指挥) \n(人员安全意识薄弱，导致，未穿戴相关防护用具) \n(人员技能不足，导致，未进行验电) \n(人员技能不足，导致，未装设接地线) \n(违章指挥，导致，未断开用户进线侧跌落开关) \n(生产作业组织管理混乱，导致，未排查外来电路是否安全隔断) \n(现场风险管控失控，导致，用户自备发电机未加装防反送电设备) \n(未断开用户进线侧跌落开关，和，未进行验电) \n(未断开用户进线侧跌落开关，和，未装设接地线) \n(未断开用户进线侧跌落开关，和，未排查外来电路是否安全隔断) \n(未断开用户进线侧跌落开关，和，未穿戴相关防护用具) \n(未断开用户进线侧跌落开关，和，用户自备发电机未加装防反送电设备) \n(未进行验电，和，未装设接地线) \n(未进行验电，和，未排查外来电路是否安全隔断) \n(未进行验电，和，未穿戴相关防护用具) \n(未进行验电，和，用户自备发电机未加装防反送电设备) \n(未装设接地线，和，未排查外来电路是否安全隔断) \n(未装设接地线，和，未穿戴相关防护用具) \n(未装设接地线，和，用户自备发电机未加装防反送电设备) \n(未排查外来电路是否安全隔断，和，未穿戴相关防护用具) \n(未排查外来电路是否安全隔断，和，用户自备发电机未加装防反送电设备) \n(未穿戴相关防护用具，和，用户自备发电机未加装防反送电设备) \n(未断开用户进线侧跌落开关，导致，触电) \n(未进行验电，导致，触电) \n(未装设接地线，导致，触电) \n(未排查外来电路是否安全隔断，导致，触电) \n(未穿戴相关防护用具，导致，触电) \n(用户自备发电机未加装防反送电设备，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
2022-2_print.txt,未验电违章冒险登杆,\n(上级督促落实规章制度不到位，导致，安全责任不落实)  \n(安全责任不落实，导致，现场监督检查不力)  \n(安全责任不落实，导致，制止违章不力)  \n(上级督促落实规章制度不到位，导致，安全培训教育不足)  \n(安全培训教育不足，导致，安全风险分级管控不到位)  \n(现场监督检查不力，导致，未验电违章冒险登杆)  \n(制止违章不力，导致，未验电违章冒险登杆)  \n(安全风险分级管控不到位，导致，未验电违章冒险登杆)  \n(未验电违章冒险登杆，导致，触电)  \n(触电，导致，1人死亡；0人受伤；直接经济损失约205万元) 
2022-3_print.txt,未按要求佩戴安全带;  违章同时拆除两个导线线夹,\n(安全风险分级管控制度落实不力，导致，安全意识薄弱) \n(安全风险辨识不到位，导致，安全意识薄弱) \n(教育和督促从业人员执行操作规程不到位，导致，安全意识薄弱) \n(安全意识薄弱，导致，未按要求佩戴安全带) \n(安全意识薄弱，导致，违章同时拆除两个导线线夹) \n(未按要求佩戴安全带，和，违章同时拆除两个导线线夹) \n(未按要求佩戴安全带，导致，高处坠落) \n(违章同时拆除两个导线线夹，导致，高处坠落) \n(高处坠落，导致，2人死亡；0人受伤；直接经济损失约391.03万元)\n##
fj2012-2022-10_print.txt,作业人员在未仔细检查抱杆和拉线的情况下登高作业;  班长未及时撤下高空作业人员就处理制动器安反问题，导致拉线脱落,\n(安全制度缺失，导致，安全管理人员未尽到安全管理职责) \n(安全制度缺失，导致，安全教育培训不到位) \n(安全培训教育不足，导致，施工人员安全意识松懈) \n(安全培训教育不足，导致，安全教育培训不到位) \n(现场监督检查不力，导致，施工现场管理混乱) \n(现场监督检查不力，导致，安全监管不到位) \n(安全责任不落实，导致，安全监管不到位) \n(安全责任不落实，导致，隐患排查不到位) \n(隐患排查不到位，导致，对事故隐患排查不力) \n(隐患排查不到位，导致，未督促施工人员严格执行安全操作规程) \n(安全教育培训不到位，导致，施工人员安全意识松懈) \n(施工人员安全意识松懈，导致，作业人员在未仔细检查抱杆和拉线的情况下登高作业) \n(安全管理人员未尽到安全管理职责，导致，未督促施工人员严格执行安全操作规程) \n(未督促施工人员严格执行安全操作规程，导致，作业人员在未仔细检查抱杆和拉线的情况下登高作业) \n(安全监管不到位，导致，施工现场管理混乱) \n(施工现场管理混乱，导致，班长未及时撤下高空作业人员就处理制动器安反问题，导致拉线脱落) \n(对事故隐患排查不力，导致，作业人员在未仔细检查抱杆和拉线的情况下登高作业) \n(作业人员在未仔细检查抱杆和拉线的情况下登高作业，导致，高处坠落) \n(班长未及时撤下高空作业人员就处理制动器安反问题，导致拉线脱落，导致，高处坠落) \n(高处坠落，导致，2人死亡；1人受伤；直接经济损失约260万元)\n##
fj2012-2022-11_print.txt,吊车大臂第三节钢丝绳断裂,\n(安全培训教育不足，导致，从业人员安全意识不强) \n(安全培训教育不足，导致，安全措施不到位) \n(现场监督检查不力，导致，安全措施不到位) \n(现场监督检查不力，导致，现场作业缺乏有效指挥) \n(资质审核不到位，导致，现场作业缺乏有效指挥) \n(资质审核不到位，导致，现场作业人员职责分工未明确到位) \n(现场作业缺乏有效指挥，导致，未严格执行安全生产操作规程) \n(从业人员安全意识不强，导致，未严格执行安全生产操作规程) \n(现场作业人员职责分工未明确到位，导致，未严格执行安全生产操作规程) \n(安全措施不到位，导致，吊车大臂第三节钢丝绳断裂) \n(未严格执行安全生产操作规程，导致，吊车大臂第三节钢丝绳断裂) \n(吊车大臂第三节钢丝绳断裂，导致，物体打击) \n(物体打击，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
fj2012-2022-12_print.txt,作业人员在起重机吊臂下违章作业;  起重机操作人员作业前未详细检查设备;  吊机安全插销缺失,\n(现场监督管理不到位，导致，设备隐患排查不到位) \n(设备隐患排查不到位，导致，安全培训教育不足) \n(设备隐患排查不到位，导致，安全操作规程未严格落实) \n(安全培训教育不足，导致，作业人员安全意识淡薄) \n(安全操作规程未严格落实，导致，作业人员安全意识淡薄) \n(作业人员安全意识淡薄，导致，作业人员在起重机吊臂下违章作业) \n(作业人员安全意识淡薄，导致，起重机操作人员作业前未详细检查设备) \n(安全操作规程未严格落实，导致，作业人员在起重机吊臂下违章作业) \n(安全操作规程未严格落实，导致，起重机操作人员作业前未详细检查设备) \n(设备隐患排查不到位，导致，吊机安全插销缺失) \n(现场监督管理不到位，导致，作业人员在起重机吊臂下违章作业) \n(现场监督管理不到位，导致，起重机操作人员作业前未详细检查设备) \n(作业人员在起重机吊臂下违章作业，和，起重机操作人员作业前未详细检查设备) \n(作业人员在起重机吊臂下违章作业，和，吊机安全插销缺失) \n(起重机操作人员作业前未详细检查设备，和，吊机安全插销缺失) \n(作业人员在起重机吊臂下违章作业，导致，物体打击) \n(起重机操作人员作业前未详细检查设备，导致，物体打击) \n(吊机安全插销缺失，导致，物体打击) \n(物体打击，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
fj2012-2022-13_print.txt,调试人员违章作业误调风机浆叶为零度;  螺栓涂刷工艺不当导致螺栓超拧,\n(企业安全生产主体责任落实不到位，和，安全监督管理不到位) \n(企业安全生产主体责任落实不到位，导致，作业人员未严格执行工作票制度) \n(安全监督管理不到位，导致，施工方案和技术交底不完善) \n(作业人员未严格执行工作票制度，导致，调试人员违章作业误调风机浆叶为零度) \n(施工方案和技术交底不完善，导致，螺栓涂刷工艺不当导致螺栓超拧) \n(调试人员违章作业误调风机浆叶为零度，和，螺栓涂刷工艺不当导致螺栓超拧) \n(调试人员违章作业误调风机浆叶为零度，导致，坍塌) \n(螺栓涂刷工艺不当导致螺栓超拧，导致，坍塌) \n(坍塌，导致，1人死亡；3人受伤；直接经济损失约0万元)\n##
fj2012-2022-14_print.txt,"起重机站位不当;  违章进行起重操作, 起重指挥权交予无证人员;  超安全回转半径冒险作业;  力矩限制器失灵;  场地坡度超标;  阵风影响",\n(安全制度缺失，导致，工程分包转包导致安全管理衰减) \n(安全制度缺失，导致，隐患排查不到位) \n(安全培训教育不足，导致，安全培训流于形式) \n(安全培训教育不足，导致，起重作业人员无证上岗) \n(现场监督检查不力，导致，现场安全管理混乱) \n(现场监督检查不力，导致，资质审核不到位) \n(资质审核不到位，导致，起重机非法使用带病运行) \n(资质审核不到位，导致，起重机未登记注册和定期检验) \n(隐患排查不到位，导致，起重机非法使用带病运行) \n(隐患排查不到位，导致，起重机未登记注册和定期检验) \n(工程分包转包导致安全管理衰减，导致，现场安全管理混乱) \n(现场安全管理混乱，导致，起重机站位不当) \n(现场安全管理混乱，导致，违章进行起重操作) \n(现场安全管理混乱，导致，场地坡度超标) \n(安全培训流于形式，导致，起重作业人员无证上岗) \n(起重作业人员无证上岗，导致，起重指挥权交予无证人员) \n(起重作业人员无证上岗，导致，违章进行起重操作) \n(起重机非法使用带病运行，导致，力矩限制器失灵) \n(起重机未登记注册和定期检验，导致，力矩限制器失灵) \n(起重指挥权交予无证人员，导致，超安全回转半径冒险作业) \n(起重机站位不当，和，超安全回转半径冒险作业) \n(违章进行起重操作，和，起重指挥权交予无证人员) \n(场地坡度超标，和，阵风影响) \n(起重机站位不当，导致，物体打击) \n(违章进行起重操作，导致，物体打击) \n(起重指挥权交予无证人员，导致，物体打击) \n(超安全回转半径冒险作业，导致，物体打击) \n(力矩限制器失灵，导致，物体打击) \n(场地坡度超标，导致，物体打击) \n(阵风影响，导致，物体打击) \n(物体打击，导致，2人死亡；0人受伤；直接经济损失约680万元)\n##
fj2012-2022-1_print.txt,法兰连接处螺栓缺失;  作业人员未正确佩戴安全带;  地面工作人员剪断拉线,\n(安全生产监管缺失，导致，未有效督促检查外委施工单位安全生产工作) \n(未有效督促检查外委施工单位安全生产工作，导致，未开展风险辨识和隐患排查) \n(未开展风险辨识和隐患排查，导致，隐患排查不到位) \n(隐患排查不到位，导致，法兰连接处螺栓缺失) \n(安全生产监管缺失，导致，未设置现场施工安全管理人员) \n(未设置现场施工安全管理人员，导致，未发放和监督使用安全防护用具) \n(未发放和监督使用安全防护用具，导致，作业人员未正确佩戴安全带) \n(安全生产监管缺失，导致，未进行高处作业安全技术交底) \n(未进行高处作业安全技术交底，导致，未执行铁塔有人时不得松拆拉线的规定) \n(未执行铁塔有人时不得松拆拉线的规定，导致，地面工作人员剪断拉线) \n(法兰连接处螺栓缺失，和，作业人员未正确佩戴安全带) \n(法兰连接处螺栓缺失，和，地面工作人员剪断拉线) \n(作业人员未正确佩戴安全带，和，地面工作人员剪断拉线) \n(法兰连接处螺栓缺失，导致，高处坠落) \n(作业人员未正确佩戴安全带，导致，高处坠落) \n(地面工作人员剪断拉线，导致，高处坠落) \n(高处坠落，导致，1人死亡；0人受伤；直接经济损失约427.37万元)\n##
fj2012-2022-3_print.txt,牵引缆风绳操作临近高压集电线路;  缆风绳未能满足与架空电线的安全距离要求,\n(安全教育培训不足，导致，工人安全生产意识淡薄) \n(安全教育培训不足，导致，吊装区域安全风险未有效识别) \n(现场监督检查不力，导致，吊装区域安全风险未有效识别) \n(现场监督检查不力，导致，未对高压集电线路采取有效安全措施) \n(监理单位监督监理不到位，导致，现场监理人员不足) \n(监理单位监督监理不到位，导致，安全生产规章制度执行不到位) \n(安全生产规章制度执行不到位，导致，未对高压集电线路采取有效安全措施) \n(安全生产规章制度执行不到位，导致，工人安全生产意识淡薄) \n(现场监理人员不足，导致，吊装区域安全风险未有效识别) \n(工人安全生产意识淡薄，导致，牵引缆风绳操作临近高压集电线路) \n(吊装区域安全风险未有效识别，导致，牵引缆风绳操作临近高压集电线路) \n(未对高压集电线路采取有效安全措施，导致，缆风绳未能满足与架空电线的安全距离要求) \n(牵引缆风绳操作临近高压集电线路，导致，触电) \n(缆风绳未能满足与架空电线的安全距离要求，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约130万元)\n##
fj2012-2022-5_print.txt,违规操作登上带电高压杆塔;  杆塔带电状态 ,\n(安全教育培训不足，导致，安全意识薄弱) \n(安全教育培训不足，导致，无电工证) \n(施工人员管理不到位，导致，无高空作业证) \n(施工人员管理不到位，导致，临时增派任务未交待清楚) \n(现场监督检查不力，导致，未进行安全交底) \n(现场监督检查不力，导致，安全防范措施不到位) \n(安全防范措施不到位，导致，无个人防护) \n(安全意识薄弱，导致，违规操作登上带电高压杆塔) \n(无电工证，导致，违规操作登上带电高压杆塔) \n(无高空作业证，导致，违规操作登上带电高压杆塔) \n(未进行安全交底，导致，违规操作登上带电高压杆塔) \n(临时增派任务未交待清楚，导致，违规操作登上带电高压杆塔) \n(无个人防护，导致，违规操作登上带电高压杆塔) \n(安全防范措施不到位，导致，杆塔带电状态) \n(违规操作登上带电高压杆塔，和，杆塔带电状态) \n(杆塔带电状态，导致，触电) \n(违规操作登上带电高压杆塔，导致，高处坠落) \n(触电，导致，1人死亡；0人受伤；直接经济损失约127.5万元) \n(高处坠落，导致，1人死亡；0人受伤；直接经济损失约127.5万元)\n##
fj2012-2022-7_print.txt,擅自使用解锁钥匙打开高压室闭锁门进入带电区域; 箱变高压室闭锁门上显示器指示灯不亮,\n(现场监管不到位，导致，个人安全意识薄弱) \n(安全制度缺失，导致，个人安全意识薄弱) \n(个人安全意识薄弱，导致，擅自使用解锁钥匙打开高压室闭锁门进入带电区域) \n(安全制度缺失，导致，箱变高压室闭锁门上显示器指示灯不亮) \n(擅自使用解锁钥匙打开高压室闭锁门进入带电区域，和，箱变高压室闭锁门上显示器指示灯不亮) \n(擅自使用解锁钥匙打开高压室闭锁门进入带电区域，导致，触电) \n(箱变高压室闭锁门上显示器指示灯不亮，导致，触电) \n(触电，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
fj2012-2022-8_print.txt,在未支撑第五条腿的情况下操作吊车旋臂,\n(安全责任不落实，导致，操作规程不完善) \n(现场监督检查不力，导致，操作规程不完善) \n(隐患排查不到位，导致，操作规程不完善) \n(安全责任不落实，和，现场监督检查不力) \n(安全责任不落实，和，隐患排查不到位) \n(现场监督检查不力，和，隐患排查不到位) \n(操作规程不完善，导致，在未支撑第五条腿的情况下操作吊车旋臂) \n(在未支撑第五条腿的情况下操作吊车旋臂，导致，坍塌) \n(坍塌，导致，1人死亡；0人受伤；直接经济损失约0万元)\n##
